,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre
0,580489,en,Venom: Let There Be Carnage,8222.616,2021-09-30,7.0,828,"['Science Fiction', 'Action']"
1,335983,en,Venom,3012.242,2018-09-28,6.8,11846,"['Science Fiction', 'Action']"
2,550988,en,Free Guy,3864.616,2021-08-11,7.8,2908,"['Comedy', 'Action', 'Adventure', 'Science Fiction']"
3,772436,es,"Matando Cabos 2, La Máscara del Máscara",2556.789,2021-10-01,7.7,34,"['Action', 'Comedy', 'Adventure']"
4,568620,en,Snake Eyes: G.I. Joe Origins,2164.071,2021-07-22,6.9,685,"['Action', 'Adventure']"
5,639721,en,The Addams Family 2,2191.005,2021-10-01,7.6,327,"['Animation', 'Comedy', 'Family']"
6,703771,en,Deathstroke: Knights & Dragons - The Movie,1786.875,2020-08-04,7.0,283,"['Animation', 'Action', 'Adventure', 'Science Fiction']"
7,610253,en,Halloween Kills,2636.999,2021-10-14,7.5,447,"['Horror', 'Thriller']"
8,524369,en,The Many Saints of Newark,1327.269,2021-09-22,6.8,132,"['Crime', 'Drama']"
9,589754,ru,Последний богатырь: Корень зла,1316.689,2021-01-01,7.3,57,"['Fantasy', 'Adventure', 'Comedy']"
10,843241,ja,劇場版 七つの大罪 光に呪われし者たち,1441.444,2021-07-02,8.4,178,"['Animation', 'Action']"
11,637534,fr,BAC Nord,1250.578,2021-08-18,7.8,439,"['Crime', 'Thriller']"
12,681887,en,Cosmic Sin,1275.841,2021-03-12,4.5,341,['Science Fiction']
13,438631,en,Dune,1418.441,2021-09-15,8.1,1726,"['Adventure', 'Science Fiction', 'Drama']"
14,566525,en,Shang-Chi and the Legend of the Ten Rings,1216.785,2021-09-01,7.7,1298,"['Action', 'Adventure', 'Fantasy']"
15,831405,en,Injustice,1523.567,2021-10-09,8.1,208,"['Animation', 'Science Fiction', 'Fantasy', 'Action']"
16,436969,en,The Suicide Squad,1130.608,2021-07-28,7.8,4439,"['Action', 'Adventure', 'Fantasy']"
17,874948,tr,Kin,1878.15,2021-10-08,6.5,17,"['Crime', 'Drama', 'Thriller']"
18,839436,en,Dragon Fury,1078.555,2021-06-15,5.6,18,"['Horror', 'Fantasy', 'Mystery']"
19,385128,en,F9,941.833,2021-05-19,7.4,4108,"['Action', 'Crime', 'Thriller']"
20,451048,en,Jungle Cruise,948.108,2021-07-28,7.8,2979,"['Adventure', 'Fantasy', 'Comedy', 'Action']"
21,725273,en,Solitary,904.423,2021-09-24,6.6,42,['Science Fiction']
22,459151,en,The Boss Baby: Family Business,972.847,2021-07-01,7.7,1519,"['Animation', 'Comedy', 'Adventure', 'Family']"
23,662708,ja,劇場版ポケットモンスター ココ,1431.207,2020-12-25,7.3,47,"['Animation', 'Adventure']"
24,635302,ja,劇場版「鬼滅の刃」無限列車編,910.006,2020-10-16,8.4,1749,"['Animation', 'Action', 'Adventure', 'Fantasy']"
25,859041,zh,疯狂的拳头,889.098,2017-05-25,7.6,34,['Action']
